tokenized_tweet,lemmatized_tweets
"['vote', 'for', 'candidates', 'who', 'value', 'a', 'livable', 'vibrant', 'not', 'derelict', 'm', 'city', 'centre', 'council', 'planning', 'has', 'overseen', 'dereliction', 'and', 'ruin', 'of', 'belfasts', 'historic', 'urban', 'fabric', 'to', 'the', 'profit', 'of', 'landbankers', 'tribeca', 'castlebrooketc', 'the', 'city', 'needed', 'affordable', 'housing', 'not', 'student', 'accommodation']","[ 'vote ' , 'for ' , 'candidates ' , 'who ' , 'value ' , ' a ' , 'livable ' , 'vibrant ' , 'not ' , 'derelict ' , 'm ' , 'city ' , 'centre ' , 'council ' , 'planning ' , 'has ' , 'overseen ' , 'dereliction ' , 'and ' , 'ruin ' , 'of ' , 'belfasts ' , 'historic ' , 'urban ' , 'fabric ' , 'to ' , 'the ' , 'profit ' , 'of ' , 'landbankers ' , 'tribeca ' , 'castlebrooketc ' , 'the ' , 'city ' , 'needed ' , 'affordable ' , 'housing ' , 'not ' , 'student ' , 'accommodation ' ]"
"['the', 'only', 'way', 'to', 'sort', 'a', 'housing', 'crisis', 'is', 'to', 'build', 'homes', 'i', 'am', 'proud', 'to', 'support', 'house', 'building', 'in', 'sdcc', 'i', 'dont', 'agree', 'with', 'government', 'targets', 'housing', 'is', 'a', 'crisis', 'and', 'needs', 'a', 'crisis', 'response', 'below', 'im', 'checking', 'out', 'progress', 'on', '94', 'homes', 'being', 'built', 'near', 'me', 'sdublincoco']","[ 'the ' , 'only ' , 'way ' , 'to ' , 'sort ' , ' a ' , 'housing ' , 'crisis ' , 'is ' , 'to ' , 'build ' , 'homes ' , ' i ' , 'am ' , 'proud ' , 'to ' , 'support ' , 'house ' , 'building ' , 'in ' , 'sdcc ' , ' i ' , 'dont ' , 'agree ' , 'with ' , 'government ' , 'targets ' , 'housing ' , 'is ' , ' a ' , 'crisis ' , 'and ' , 'needs ' , ' a ' , 'crisis ' , 'response ' , 'below ' , 'im ' , 'checking ' , 'out ' , 'progress ' , 'on ' , '94 ' , 'homes ' , 'being ' , 'built ' , 'near ' , 'me ' , 'sdublincoco ' ]"
"['more', 'than', '10', '000', 'women', 'escaping', 'domestic', 'abuse', 'across', 'england', 'were', 'refused', 'safe', 'housing', 'last', 'year', 'amid', 'warnings', 'that', 'many', 'could', 'be', 'left', 'homeless', 'or', 'driven', 'back', 'to', 'dangerous', 'partners', 'as', 'a', 'result', 'of', 'a', 'woeful', 'lack', 'of', 'safe', 'accommodation']","[ 'more ' , 'than ' , '10 ' , '000 ' , 'women ' , 'escaping ' , 'domestic ' , 'abuse ' , 'across ' , 'england ' , 'were ' , 'refused ' , 'safe ' , 'housing ' , 'last ' , 'year ' , 'amid ' , 'warnings ' , 'that ' , 'many ' , 'could ' , 'be ' , 'left ' , 'homeless ' , 'or ' , 'driven ' , 'back ' , 'to ' , 'dangerous ' , 'partners ' , 'as ' , ' a ' , 'result ' , 'of ' , ' a ' , 'woeful ' , 'lack ' , 'of ' , 'safe ' , 'accommodation ' ]"
"['i', 'tweeted', 'looking', 'for', 'a', 'housemate', 'and', 'divorced', 'das', 'blamed', 'me', 'for', 'the', 'housing', 'crisis', 'i', 'tweeted', 'about', 'an', 'overpriced', 'oat', 'latte', 'and', 'was', 'accused', 'of', 'supporting', 'cartels', 'and', 'slavery']","[ ' i ' , 'tweeted ' , 'looking ' , 'for ' , ' a ' , 'housemate ' , 'and ' , 'divorced ' , 'das ' , 'blamed ' , 'me ' , 'for ' , 'the ' , 'housing ' , 'crisis ' , ' i ' , 'tweeted ' , 'about ' , 'an ' , 'overpriced ' , 'oat ' , 'latte ' , 'and ' , 'was ' , 'accused ' , 'of ' , 'supporting ' , 'cartels ' , 'and ' , 'slavery ' ]"
"['tomorrow', 'well', 'be', 'hearing', 'from', 'the', 'chief', 'negotiators', 'of', 'the', 'gfa', 'we', 'need', 'to', 'recapture', 'the', 'spirit', 'of', '1998', 'in', 'many', 'ways', 'it', 'could', 'be', 'argued', 'that', 'the', 'peace', 'process', 'is', 'stagnant', 'institutions', 'are', 'not', 'functioning', 'education', 'is', '93', 'segregated', 'social', 'housing', '90', 'segregated', 'much', 'more']","[ 'tomorrow ' , 'well ' , 'be ' , 'hearing ' , 'from ' , 'the ' , 'chief ' , 'negotiators ' , 'of ' , 'the ' , 'gfa ' , 'we ' , 'need ' , 'to ' , 'recapture ' , 'the ' , 'spirit ' , 'of ' , '1998 ' , 'in ' , 'many ' , 'ways ' , 'it ' , 'could ' , 'be ' , 'argued ' , 'that ' , 'the ' , 'peace ' , 'process ' , 'is ' , 'stagnant ' , 'institutions ' , 'are ' , 'not ' , 'functioning ' , 'education ' , 'is ' , '93 ' , 'segregated ' , 'social ' , 'housing ' , '90 ' , 'segregated ' , 'much ' , 'more ' ]"
"['michael', 'martin', 'was', 'recently', 'on', 'the', 'talkingbollox', 'podcast', 'he', 'made', 'a', 'number', 'of', 'arguments', 'defending', 'the', 'eviction', 'ban', 'the', 'reason', 'for', 'the', 'housing', 'crisis', 'heres', 'my', 'analysis', 'of', 'what', 'he', 'said', 'housingcrisis', 'reinstateevictionban']","[ 'michael ' , 'martin ' , 'was ' , 'recently ' , 'on ' , 'the ' , 'talkingbollox ' , 'podcast ' , 'he ' , 'made ' , ' a ' , 'number ' , 'of ' , 'arguments ' , 'defending ' , 'the ' , 'eviction ' , 'ban ' , 'the ' , 'reason ' , 'for ' , 'the ' , 'housing ' , 'crisis ' , 'heres ' , 'my ' , 'analysis ' , 'of ' , 'what ' , 'he ' , 'said ' , 'housingcrisis ' , 'reinstateevictionban ' ]"
"['this', 'is', 'the', 'reality', 'of', 'government', 'created', 'housing', 'catastrophe', 'a', '30', 'year', 'old', 'community', 'worker', 'being', 'made', 'homeless', 'for', 'the', 'second', 'time', 'in', 'two', 'years', 'it', 'feels', 'there', 'are', 'no', 'options', 'other', 'than', 'to', 'leave', 'generation', 'emigrating']","[ 'this ' , 'is ' , 'the ' , 'reality ' , 'of ' , 'government ' , 'created ' , 'housing ' , 'catastrophe ' , ' a ' , '30 ' , 'year ' , 'old ' , 'community ' , 'worker ' , 'being ' , 'made ' , 'homeless ' , 'for ' , 'the ' , 'second ' , 'time ' , 'in ' , 'two ' , 'years ' , 'it ' , 'feels ' , 'there ' , 'are ' , 'no ' , 'options ' , 'other ' , 'than ' , 'to ' , 'leave ' , 'generation ' , 'emigrating ' ]"
"['why', 'is', 'the', 'government', 'so', 'bad', 'at', 'managing', 'housing', 'i', 'mean', 'the', 'country', 'is', 'having', 'a', 'housing', 'crisis', 'thats', 'so', 'bad', 'its', 'caused', 'a', 'second', 'diaspora', 'yet', 'if', 'you', 'look', 'around', 'any', 'town', 'youll', 'notice', 'the', 'amount', 'of', 'derelict', 'buildings', 'that', 'could', 'easily', 'be', 'fixed', 'up', 'and', 'turned', 'into', 'affordable', 'housing']","[ 'why ' , 'is ' , 'the ' , 'government ' , 'so ' , 'bad ' , 'at ' , 'managing ' , 'housing ' , ' i ' , 'mean ' , 'the ' , 'country ' , 'is ' , 'having ' , ' a ' , 'housing ' , 'crisis ' , 'thats ' , 'so ' , 'bad ' , 'its ' , 'caused ' , ' a ' , 'second ' , 'diaspora ' , 'yet ' , 'if ' , 'you ' , 'look ' , 'around ' , 'any ' , 'town ' , 'youll ' , 'notice ' , 'the ' , 'amount ' , 'of ' , 'derelict ' , 'buildings ' , 'that ' , 'could ' , 'easily ' , 'be ' , 'fixed ' , 'up ' , 'and ' , 'turned ' , 'into ' , 'affordable ' , 'housing ' ]"
"['its', 'the', 'tissue', 'thin', 'pancakes', 'the', 'sad', 'meal', 'planning', 'and', 'the', 'total', 'destruction', 'of', 'our', 'social', 'housing', 'structure', 'not', 'necessarily', 'in', 'that', 'order']","[ 'its ' , 'the ' , 'tissue ' , 'thin ' , 'pancakes ' , 'the ' , 'sad ' , 'meal ' , 'planning ' , 'and ' , 'the ' , 'total ' , 'destruction ' , 'of ' , 'our ' , 'social ' , 'housing ' , 'structure ' , 'not ' , 'necessarily ' , 'in ' , 'that ' , 'order ' ]"
"['bill', 'for', 'housing', 'ukrainian', 'refugees', 'in', 'ireland', 'to', 'hit', '1', 'billion', 'within', 'weeks', 'youtube', 'food', 'dukeandduchessofsussex', 'news', 'princeharry']","[ 'bill ' , 'for ' , 'housing ' , 'ukrainian ' , 'refugees ' , 'in ' , 'ireland ' , 'to ' , 'hit ' , ' 1 ' , 'billion ' , 'within ' , 'weeks ' , 'youtube ' , 'food ' , 'dukeandduchessofsussex ' , 'news ' , 'princeharry ' ]"
"['are', 'you', 'a', 'third', 'level', 'student', 'in', 'cork', 'city', 'join', 'the', 'cork', 'student', 'housing', 'co', 'op', 'we', 'are', 'a', 'grassroots', 'student', 'run', 'group', 'that', 'are', 'in', 'the', 'process', 'of', 'forming', 'a', 'co', 'operative', 'our', 'aim', 'is', 'to', 'acquire', 'accommodation', 'for', 'running', 'a', 'low', 'cost', 'community', 'minded', 'student', 'housing', 'co', 'op']","[ 'are ' , 'you ' , ' a ' , 'third ' , 'level ' , 'student ' , 'in ' , 'cork ' , 'city ' , 'join ' , 'the ' , 'cork ' , 'student ' , 'housing ' , 'co ' , 'op ' , 'we ' , 'are ' , ' a ' , 'grassroots ' , 'student ' , 'run ' , 'group ' , 'that ' , 'are ' , 'in ' , 'the ' , 'process ' , 'of ' , 'forming ' , ' a ' , 'co ' , 'operative ' , 'our ' , 'aim ' , 'is ' , 'to ' , 'acquire ' , 'accommodation ' , 'for ' , 'running ' , ' a ' , 'low ' , 'cost ' , 'community ' , 'minded ' , 'student ' , 'housing ' , 'co ' , 'op ' ]"
"['6', 'houses', 'in', 'ennis', 'bought', 'for', '850k', 'by', 'council', 'not', 'brought', 'back', 'to', 'use', 'in', 'a', 'housing', 'emergency', 'are', 'now', 'to', 'be', 'knocked', 'for', 'a', 'temporary', 'car', 'park', 'this', 'vandalism', 'can', 'only', 'be', 'derelictireland']","[ ' 6 ' , 'houses ' , 'in ' , 'ennis ' , 'bought ' , 'for ' , '850k ' , 'by ' , 'council ' , 'not ' , 'brought ' , 'back ' , 'to ' , 'use ' , 'in ' , ' a ' , 'housing ' , 'emergency ' , 'are ' , 'now ' , 'to ' , 'be ' , 'knocked ' , 'for ' , ' a ' , 'temporary ' , 'car ' , 'park ' , 'this ' , 'vandalism ' , 'can ' , 'only ' , 'be ' , 'derelictireland ' ]"
"['svp', 'seeks', 'more', 'volunteers', 'for', 'its', 'social', 'housing', 'division']","[ 'svp ' , 'seeks ' , 'more ' , 'volunteers ' , 'for ' , 'its ' , 'social ' , 'housing ' , 'division ' ]"
"['plans', 'for', '20', 'unit', 'housing', 'proposal', 'for', 'achill', 'sound', 'published']","[ 'plans ' , 'for ' , '20 ' , 'unit ' , 'housing ' , 'proposal ' , 'for ' , 'achill ' , 'sound ' , 'published ' ]"
"['he', 'who', 'soweth', 'the', 'wind', 'repeath', 'the', 'whirlwind', 'housingcrisis']","[ 'he ' , 'who ' , 'soweth ' , 'the ' , 'wind ' , 'repeath ' , 'the ' , 'whirlwind ' , 'housingcrisis ' ]"
"['all', 'parties', 'talking', 'about', 'a', 'commitment', 'to', 'housing', 'mental', 'health', 'a', 'sustainable', 'society', 'which', 'excludes', 'no', 'one', 'at', 'qubelfast', 'agreement25', 'maryloumcdonald', 'beattiedoug', 'columeastwood', 'little', 'pengelly', 'naomi', 'long', 'read', 'more', 'in', 'our', 'human', 'rights', 'briefing']","[ 'all ' , 'parties ' , 'talking ' , 'about ' , ' a ' , 'commitment ' , 'to ' , 'housing ' , 'mental ' , 'health ' , ' a ' , 'sustainable ' , 'society ' , 'which ' , 'excludes ' , 'no ' , 'one ' , 'at ' , 'qubelfast ' , 'agreement25 ' , 'maryloumcdonald ' , 'beattiedoug ' , 'columeastwood ' , 'little ' , 'pengelly ' , 'naomi ' , 'long ' , 'read ' , 'more ' , 'in ' , 'our ' , 'human ' , 'rights ' , 'briefing ' ]"
"['calls', 'for', 'facilites', 'for', 'new', 'delgany', 'housing', 'development']","[ 'calls ' , 'for ' , 'facilites ' , 'for ' , 'new ' , 'delgany ' , 'housing ' , 'development ' ]"
"['our', 'head', 'of', 'activation', 'paul', 'rosbotham', 'is', 'speaking', 'on', 'the', 'pathways', 'to', 'employment', 'panel', 'discussing', 'his', 'work', 'to', 'bring', 'employment', 'and', 'training', 'opportunities', 'to', 'our', 'housing', 'first', 'participants', 'this', 'work', 'empowers', 'our', 'clients', 'to', 're', 'engage', 'with', 'their', 'community', 'rebuild', 'their', 'lives']","[ 'our ' , 'head ' , 'of ' , 'activation ' , 'paul ' , 'rosbotham ' , 'is ' , 'speaking ' , 'on ' , 'the ' , 'pathways ' , 'to ' , 'employment ' , 'panel ' , 'discussing ' , 'his ' , 'work ' , 'to ' , 'bring ' , 'employment ' , 'and ' , 'training ' , 'opportunities ' , 'to ' , 'our ' , 'housing ' , 'first ' , 'participants ' , 'this ' , 'work ' , 'empowers ' , 'our ' , 'clients ' , 'to ' , 're ' , 'engage ' , 'with ' , 'their ' , 'community ' , 'rebuild ' , 'their ' , 'lives ' ]"
"['as', 'a', 'group', 'women', 'are', 'more', 'vulnerable', 'to', 'housing', 'insecurity', 'and', 'access', 'to', 'affordability', 'issues', 'good', 'to', 'see', 'this', 'report', 'focusing', 'on', 'women', 'and', 'housing', 'from', 'housingagencyie', 'we', 'need', 'more', 'data', 'like', 'this', 'to', 'inform', 'housing', 'policy', 'and', 'protect', 'women']","[ 'as ' , ' a ' , 'group ' , 'women ' , 'are ' , 'more ' , 'vulnerable ' , 'to ' , 'housing ' , 'insecurity ' , 'and ' , 'access ' , 'to ' , 'affordability ' , 'issues ' , 'good ' , 'to ' , 'see ' , 'this ' , 'report ' , 'focusing ' , 'on ' , 'women ' , 'and ' , 'housing ' , 'from ' , 'housingagencyie ' , 'we ' , 'need ' , 'more ' , 'data ' , 'like ' , 'this ' , 'to ' , 'inform ' , 'housing ' , 'policy ' , 'and ' , 'protect ' , 'women ' ]"
"['labour', 's', 'geraldnash', 'also', 'out', 'on', 'the', 'plinth', 'talking', 'about', 'housing', 'they', 'criticise', 'the', 'government', 'for', 'not', 'putting', 'any', 'mitigation', 'measures', 'in', 'place', 'before', 'ending', 'the', 'eviction', 'ban', 'as', 'well', 'as', 'failing', 'to', 'meet', 'modest', 'social', 'housing', 'targets']","[ 'labour ' , 's ' , 'geraldnash ' , 'also ' , 'out ' , 'on ' , 'the ' , 'plinth ' , 'talking ' , 'about ' , 'housing ' , 'they ' , 'criticise ' , 'the ' , 'government ' , 'for ' , 'not ' , 'putting ' , 'any ' , 'mitigation ' , 'measures ' , 'in ' , 'place ' , 'before ' , 'ending ' , 'the ' , 'eviction ' , 'ban ' , 'as ' , 'well ' , 'as ' , 'failing ' , 'to ' , 'meet ' , 'modest ' , 'social ' , 'housing ' , 'targets ' ]"
"['indeed', 'here', 's', 'what', 'happened', 'the', 'rte', 'presenter', 'tried', 'twice', 'to', 'downplay', 'the', 'government', 's', 'abysmal', 'housing', 'delivery', 'numbers', 'and', 'tried', 'multiple', 'times', 'to', 'link', 'sinn', 'fein', 'with', 'criminality', 'eobroin', 'was', 'on', 'form', 'and', 'dealt', 'with', 'it', 'deftly', 'impartial', 'broadcasting', 'not']","[ 'indeed ' , 'here ' , 's ' , 'what ' , 'happened ' , 'the ' , 'rte ' , 'presenter ' , 'tried ' , 'twice ' , 'to ' , 'downplay ' , 'the ' , 'government ' , 's ' , 'abysmal ' , 'housing ' , 'delivery ' , 'numbers ' , 'and ' , 'tried ' , 'multiple ' , 'times ' , 'to ' , 'link ' , 'sinn ' , 'fein ' , 'with ' , 'criminality ' , 'eobroin ' , 'was ' , 'on ' , 'form ' , 'and ' , 'dealt ' , 'with ' , 'it ' , 'deftly ' , 'impartial ' , 'broadcasting ' , 'not ' ]"
"['oh', 'my', 'god', 'this', 'guy', 'is', 'a', 'villain']","[ 'oh ' , 'my ' , 'god ' , 'this ' , 'guy ' , 'is ' , ' a ' , 'villain ' ]"
"['opposition', 'parties', 'lining', 'up', 'today', 'to', 'say', 'they', 're', 'very', 'sceptical', 'about', 'release', 'of', '2022', 'public', 'housing', 'figures', 'in', 'which', 'several', 'major', 'targets', 'were', 'missed', 'when', 'newsrooms', 'eyes', 'were', 'focussed', 'on', 'the', 'ccj']","[ 'opposition ' , 'parties ' , 'lining ' , 'up ' , 'today ' , 'to ' , 'say ' , 'they ' , 're ' , 'very ' , 'sceptical ' , 'about ' , 'release ' , 'of ' , '2022 ' , 'public ' , 'housing ' , 'figures ' , 'in ' , 'which ' , 'several ' , 'major ' , 'targets ' , 'were ' , 'missed ' , 'when ' , 'newsrooms ' , 'eyes ' , 'were ' , 'focussed ' , 'on ' , 'the ' , 'ccj ' ]"
"['former', 'president', 'of', 'ireland', 'mary', 'robinson', 'talking', 'about', 'the', 'need', 'to', 'focus', 'on', 'the', 'implementation', 'part', 'of', 'agreements', 'agreement25', 'communities', 'suffering', 'housing', 'health', 'cost', 'of', 'living', 'crisis', 'need', 'more', 'than', 'the', 'words', 'now']","[ 'former ' , 'president ' , 'of ' , 'ireland ' , 'mary ' , 'robinson ' , 'talking ' , 'about ' , 'the ' , 'need ' , 'to ' , 'focus ' , 'on ' , 'the ' , 'implementation ' , 'part ' , 'of ' , 'agreements ' , 'agreement25 ' , 'communities ' , 'suffering ' , 'housing ' , 'health ' , 'cost ' , 'of ' , 'living ' , 'crisis ' , 'need ' , 'more ' , 'than ' , 'the ' , 'words ' , 'now ' ]"
"['what', 'housing', 'crisis', 'like', 'how', 'does', 'this', 'not', 'seem', 'completely', 'deranged', 'to', 'people', 'darraghobrientd', 'shall', 'we', 'mention', 'the', '1', 'billion', 'euro', 'underspend']","[ 'what ' , 'housing ' , 'crisis ' , 'like ' , 'how ' , 'does ' , 'this ' , 'not ' , 'seem ' , 'completely ' , 'deranged ' , 'to ' , 'people ' , 'darraghobrientd ' , 'shall ' , 'we ' , 'mention ' , 'the ' , ' 1 ' , 'billion ' , 'euro ' , 'underspend ' ]"
"['why', 'is', 'ireland', 'with', 'more', 'of', 'an', 'undersupply', 'per', 'person', 'than', 'spain', 'and', 'with', 'more', 'cash', 'in', 'banks', 'not', 'setting', 'up', 'a', 'bank', 'to', 'finance', 'affordable', 'housing', 'climate', 'zero', 'energy', 'bills', 'a', 'td', 's', 'councillors', 'ministers', 'civil', 'servants', 'too', 'afraid', 'of', 'the', 'pillar', 'banks', 'that', 'aren', 't', 'lending']","[ 'why ' , 'is ' , 'ireland ' , 'with ' , 'more ' , 'of ' , 'an ' , 'undersupply ' , 'per ' , 'person ' , 'than ' , 'spain ' , 'and ' , 'with ' , 'more ' , 'cash ' , 'in ' , 'banks ' , 'not ' , 'setting ' , 'up ' , ' a ' , 'bank ' , 'to ' , 'finance ' , 'affordable ' , 'housing ' , 'climate ' , 'zero ' , 'energy ' , 'bills ' , ' a ' , 'td ' , 's ' , 'councillors ' , 'ministers ' , 'civil ' , 'servants ' , 'too ' , 'afraid ' , 'of ' , 'the ' , 'pillar ' , 'banks ' , 'that ' , 'aren ' , 't ' , 'lending ' ]"
"['mortgage', 'market', 'showing', 'signs', 'of', 'return', 'to', 'normality', 'mark', 'crawford', 'of', 'mortgage', 'advisers', 'crawford', 'mulholland', 'financial', 'believes', 'the', 'housing', 'market', 'here', 'is', 'now', 'shaking', 'off', 'the', 'impact', 'of', 'last', 'year', 's', 'disastrous', 'mini', 'budget', 'watch', 'or', 'read', 'more']","[ 'mortgage ' , 'market ' , 'showing ' , 'signs ' , 'of ' , 'return ' , 'to ' , 'normality ' , 'mark ' , 'crawford ' , 'of ' , 'mortgage ' , 'advisers ' , 'crawford ' , 'mulholland ' , 'financial ' , 'believes ' , 'the ' , 'housing ' , 'market ' , 'here ' , 'is ' , 'now ' , 'shaking ' , 'off ' , 'the ' , 'impact ' , 'of ' , 'last ' , 'year ' , 's ' , 'disastrous ' , 'mini ' , 'budget ' , 'watch ' , 'or ' , 'read ' , 'more ' ]"
